Web link,URN,LAESTAB,School name,Ofsted phase,Type of education,School open date,Admissions policy,Sixth form,Designated religious character,Religious ethos,Faith grouping,Ofsted region,Region,Local authority,Parliamentary constituency,Postcode,The income deprivation affecting children index (IDACI) quintile,Total number of pupils,Latest section 8 inspection number since last full inspection,Does the section 8 inspection relate to the URN of the current school?,URN at time of the section 8 inspection,LAESTAB at time of the section 8 inspection,School name at time of the latest section 8 inspection,School type at time of the latest section 8 inspection,Number of section 8 inspections since the last full inspection,Date of latest section 8 inspection,Section 8 inspection publication date,Did the latest section 8 inspection convert to a full inspection?,Section 8 inspection overall outcome,Number of other section 8 inspections since last full inspection,Inspection number of latest full inspection,Inspection type,Inspection type grouping,Event type grouping,Inspection start date,Inspection end date,Publication date,Does the latest full inspection relate to the URN of the current school?,URN at time of latest full inspection,LAESTAB at time of latest full inspection,School name at time of latest full inspection,School type at time of latest full inspection,Overall effectiveness,Category of concern,Quality of education,Behaviour and attitudes,Personal development,Effectiveness of leadership and management,Safeguarding is effective?,Early years provision (where applicable),Sixth form provision (where applicable),Previous full inspection number,Previous inspection start date,Previous inspection end date,Previous publication date,Does the previous full inspection relate to the URN of the current school?,URN at time of previous full inspection,LAESTAB at time of previous full inspection,School name at time of previous full inspection,School type at time of previous full inspection,Previous full inspection overall effectiveness,Previous category of concern,Previous quality of education,Previous behaviour and attitudes,Previous personal development,Previous effectiveness of leadership and management,Previous safeguarding is effective?,Previous early years provision (where applicable),Previous sixth form provision (where applicable)
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/106973,106973,3731000,Broomhall Nursery School,Nursery,LA Nursery School,NULL,Not applicable,Not applicable,Does not apply,Does not apply,Non-faith,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Sheffield,Sheffield Central,S10 2DN,NULL,102,10047791,Yes,106973,3731000,Broomhall Nursery School,LA Nursery School,1,22/05/2018,13/06/2018,No,School remains Outstanding,NULL,ITS448090,S5 Inspection,S5 Inspection,Schools - S5,14/10/2014,15/10/2014,10/11/2014,Yes,106973,3731000,Broomhall Nursery School,LA Nursery School,1,,9,9,9,1,9,1,9,ITS377505,21/06/2012,22/06/2012,12/07/2012,Yes,106973,3731000,Broomhall Nursery School,LA Nursery School,1,,9,9,9,1,9,8,9
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/106975,106975,3731002,Grace Owen Nursery School,Nursery,LA Nursery School,NULL,Not applicable,Not applicable,Does not apply,Does not apply,Non-faith,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Sheffield,Sheffield Central,S2 5QD,NULL,89,10047804,Yes,106975,3731002,Grace Owen Nursery School,LA Nursery School,1,28/11/2018,13/01/2019,No,School remains Good (Improving) - S5 Next,NULL,ITS442647,S5 Inspection,S5 Inspection,Schools - S5,21/10/2014,22/10/2014,14/11/2014,Yes,106975,3731002,Grace Owen Nursery School,LA Nursery School,2,,9,9,9,2,9,2,9,ITS377506,07/11/2011,08/11/2011,29/11/2011,Yes,106975,3731002,Grace Owen Nursery School,LA Nursery School,2,,9,9,9,1,9,2,9
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/106982,106982,3732001,Abbey Lane Primary School,Primary,Community School,NULL,Not applicable,Does not have a sixth form,Does not apply,Does not apply,Non-faith,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Sheffield,"Sheffield, Heeley",S8 0BN,2,579,10042251,Yes,106982,3732001,Abbey Lane Primary School,Community School,1,20/03/2018,23/04/2018,No,School remains Good,NULL,ITS431376,S5 Inspection,S5 Inspection,Schools - S5,18/02/2014,19/02/2014,18/03/2014,Yes,106982,3732001,Abbey Lane Primary School,Community School,2,,9,9,9,2,9,9,9,ITS324501,09/02/2009,10/02/2009,05/03/2009,Yes,106982,3732001,Abbey Lane Primary School,Community School,2,,9,9,9,2,9,2,9
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/106987,106987,3732014,Brightside Nursery and Infant School,Primary,Community School,NULL,Not applicable,Does not have a sixth form,Does not apply,Does not apply,Non-faith,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Sheffield,"Sheffield, Brightside and Hillsborough",S9 1AS,5,229,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,ITS413339,S5 Inspection,S5 Inspection,Schools - S5,06/06/2013,07/06/2013,28/06/2013,Yes,106987,3732014,Brightside Nursery and Infant School,Community School,1,,9,9,9,1,9,9,9,ITS324502,26/02/2009,27/02/2009,18/03/2009,Yes,106987,3732014,Brightside Nursery and Infant School,Community School,1,,9,9,9,1,9,2,9
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/106988,106988,3732023,Carter Knowle Junior School,Primary,Community School,NULL,Not applicable,Does not have a sixth form,Does not apply,Does not apply,Non-faith,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Sheffield,Sheffield Central,S7 2DY,2,222,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,10121671,Requires Improvement S5 Reinspection Visit 2,Requires Improvement S5 Reinspection Visit 2,Schools - S5,04/12/2019,05/12/2019,13/01/2020,Yes,106988,3732023,Carter Knowle Junior School,Community School,2,,2,2,2,2,Yes,9,9,10023833,14/06/2017,15/06/2017,12/07/2017,Yes,106988,3732023,Carter Knowle Junior School,Community School,3,,9,9,9,3,Yes,9,9
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/106991,106991,3732036,Gleadless Primary School,Primary,Community School,NULL,Not applicable,Does not have a sixth form,Does not apply,Does not apply,Non-faith,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Sheffield,"Sheffield, Heeley",S12 2EJ,3,454,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,1,10019708,Requires Improvement S5 Reinspection Visit 2,Requires Improvement S5 Reinspection Visit 2,Schools - S5,12/10/2016,13/10/2016,22/11/2016,Yes,106991,3732036,Gleadless Primary School,Community School,2,,9,9,9,2,Yes,2,9,ITS448972,23/09/2014,24/09/2014,14/10/2014,Yes,106991,3732036,Gleadless Primary School,Community School,3,,9,9,9,3,9,3,9
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/106994,106994,3732058,Hunter's Bar Junior School,Primary,Community School,NULL,Not applicable,Does not have a sixth form,Does not apply,Does not apply,Non-faith,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Sheffield,Sheffield Central,S11 8ZG,2,351,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,10055082,S5 Inspection,S5 Inspection,Schools - S5,17/10/2018,18/10/2018,21/11/2018,Yes,106994,3732058,Hunter's Bar Junior School,Community School,1,,9,9,9,1,Yes,9,9,ITS431377,26/03/2014,27/03/2014,30/04/2014,Yes,106994,3732058,Hunter's Bar Junior School,Community School,2,,9,9,9,2,9,9,9
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/106995,106995,3732060,Hunter's Bar Infant School,Primary,Community School,NULL,Not applicable,Does not have a sixth form,Does not apply,Does not apply,Non-faith,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Sheffield,Sheffield Central,S11 8ZG,3,270,10036466,Yes,106995,3732060,Hunter's Bar Infant School,Community School,1,14/09/2017,16/10/2017,No,,NULL,ITS405072,S5 Inspection,S5 Inspection,Schools - S5,13/02/2013,14/02/2013,12/03/2013,Yes,106995,3732060,Hunter's Bar Infant School,Community School,2,,9,9,9,1,9,9,9,ITS356069,10/03/2011,11/03/2011,01/04/2011,Yes,106995,3732060,Hunter's Bar Infant School,Community School,3,,9,9,9,3,9,3,9
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/106996,106996,3732063,Intake Primary School,Primary,Foundation School,NULL,Not applicable,Does not have a sixth form,Does not apply,Does not apply,Non-faith,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Sheffield,"Sheffield, Heeley",S12 2AR,4,406,10047680,Yes,106996,3732063,Intake Primary School,Foundation School,1,16/10/2018,22/11/2018,No,School remains Good,NULL,ITS431779,S5 Inspection,S5 Inspection,Schools - S5,14/01/2014,15/01/2014,05/02/2014,Yes,106996,3732063,Intake Primary School,Foundation School,2,,9,9,9,2,9,9,9,ITS356070,02/03/2011,03/03/2011,24/03/2011,Yes,106996,3732063,Intake Primary School,Foundation School,1,,9,9,9,1,9,2,9
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/106997,106997,3732070,Lowfield Community Primary School,Primary,Community School,NULL,Not applicable,Does not have a sixth form,Does not apply,Does not apply,Non-faith,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Sheffield,Sheffield Central,S2 4NJ,5,379,10024051,Yes,106997,3732070,Lowfield Community Primary School,Community School,1,07/03/2017,04/04/2017,No,,NULL,ITS377509,S5 Inspection,S5 Inspection,Schools - S5,01/02/2012,02/02/2012,27/02/2012,Yes,106997,3732070,Lowfield Community Primary School,Community School,2,,9,9,9,2,9,8,9,ITS324505,16/09/2008,17/09/2008,15/10/2008,Yes,106997,3732070,Lowfield Community Primary School,Community School,3,,9,9,9,3,9,2,9
